address,lat,lon
서울특별시 서초구 강남대로61길 19,37.4985316,127.0247319
서울특별시 마포구 만리재로 99,37.5491943,126.9595407
서울특별시 송파구 올림픽로35길 93,37.5177325,127.1044332
서울특별시 동대문구 이문로 34,37.5903863,127.0565991
서울특별시 영등포구 버드나루로 129,37.5296385,126.9072334
서울특별시 강서구 강서로56가길 166,37.5665406,126.8420068
서울특별시 종로구 사직로8길 34,37.5735916,126.9724255
서울특별시 영등포구 은행로 54,37.5297624,126.9245374
서울특별시 동대문구 장한로20길 7,37.5689878,127.0703172
서울특별시 은평구 통일로 1080,37.6395615,126.9170619
서울특별시 금천구 시흥대로57길 46,37.4542721,126.9001274
서울특별시 종로구 율곡로 195,37.5761911,127.0004459
서울특별시 강서구 강서로 447,37.5655076,126.8400531
서울특별시 양천구 목동서로 77,37.5359472,126.8780787
서울특별시 광진구 아차산로 431,37.5386539,127.0901908
서울특별시 영등포구 당산로 203,37.5323543,126.8999007
서울특별시 영등포구 당산로45길 1,37.5332573,126.9005069
서울특별시 동대문구 청계천로 461,37.5707378,127.0284486
서울특별시 마포구 신촌로 170,37.5563496,126.9443515
서울특별시 구로구 구일로 130,37.4966766,126.8721085
서울특별시 구로구 공원로 11,37.4981714,126.8919951
서울특별시 광진구 능동로 69,37.5375835,127.0686315
서울특별시 강남구 테헤란로20길 15,37.4987521,127.0347711
서울특별시 송파구 오금로11길 43,37.5159101,127.1118601
서울특별시 마포구 마포대로 173,37.5499081,126.9544556
서울특별시 마포구 백범로 178,37.5438694,126.950105
서울특별시 도봉구 도봉로106길 22,37.6444036,127.0338908
서울특별시 서대문구 서소문로 45,37.5612887,126.9662158
서울특별시 서대문구 신촌로 63,37.556611,126.9337573
서울특별시 강서구 양천로66길 32,37.5538664,126.8643721
서울특별시 강서구 화곡로68길 47,37.5588364,126.8567817
서울특별시 강서구 양천로 344,37.568266,126.8403595
서울특별시 노원구 상계로 55,37.6560588,127.0611963
서울특별시 중구 다산로 56,37.5491667,127.0077625
서울특별시 광진구 광나루로 358,37.5477849,127.069654
서울특별시 종로구 삼봉로 81,37.5725619,126.9815061
서울특별시 강남구 테헤란로88길 10,37.5068487,127.0594706
서울특별시 강동구 아리수로 419,37.5644131,127.1737078
서울특별시 도봉구 도봉로180나길 19,37.6835646,127.048527
서울특별시 구로구 시흥대로 525,37.480425,126.898952
서울특별시 도봉구 우이천로24길 52-18,37.6461227,127.0324923
서울특별시 동대문구 천호대로 247,37.569497,127.0499195
서울특별시 관악구 신림동1길 7,37.4871346,126.9283787
서울특별시 송파구 송파대로28길 6,37.4935229,127.1190359
서울특별시 강남구 자곡로 192,37.4744598,127.103959
서울특별시 강서구 강서로 429,37.5640032,126.8395113
서울특별시 영등포구 경인로108길 4,37.5171284,126.9106503
서울특별시 서대문구 연희로 158,37.5712381,126.9348666
서울특별시 강서구 화곡로42가길 28,37.5456063,126.8461441
서울특별시 동대문구 장한로 91,37.5691502,127.0693529
서울특별시 관악구 남부순환로 1811,37.4817674,126.9514833
서울특별시 관악구 보라매로 47,37.4937089,126.9267986
서울특별시 강동구 올림픽로70길 61,37.5394019,127.1269895
서울특별시 강남구 논현로87길 41,37.4988354,127.0335356
서울특별시 마포구 마포대로 52,37.5403379,126.9476643
서울특별시 서초구 서초대로 316,37.4940811,127.0162235
서울특별시 양천구 목동서로 155,37.5299683,126.8752424
서울특별시 동대문구 청계천로 443,37.5712775,127.0265225
서울특별시 구로구 디지털로32다길 50,37.481004,126.8986391
서울특별시 구로구 경인로 240,37.4974382,126.8472908
서울특별시 서대문구 성산로22길 2-1,37.5605502,126.9330907
서울특별시 서초구 강남대로55길 24,37.4956799,127.0255713
서울특별시 강남구 개포로 504,37.4890546,127.0671869
서울특별시 강서구 마곡중앙8로 86,37.5606185,126.8369577
서울특별시 성북구 동소문로 43,37.5906311,127.0101598
서울특별시 광진구 아차산로 355,37.5373363,127.0825914
서울특별시 도봉구 도봉로 476,37.6478854,127.0348005
서울특별시 영등포구 선유로 71,37.5202344,126.8888861
서울특별시 영등포구 양산로7길 3,37.525821,126.887134
서울특별시 영등포구 선유서로 61,37.5213719,126.8845466
서울특별시 강동구 천호대로161길 7,37.5376848,127.1285887
서울특별시 송파구 새말로 62,37.4807947,127.1208608
서울특별시 성동구 왕십리로 340,37.5633396,127.0324237
서울특별시 관악구 관악로13길 25,37.4792386,126.9507076
서울특별시 강남구 테헤란로64길 8,37.5041769,127.0508936
서울특별시 강남구 선릉로86길 31,37.5042024,127.0520244
서울특별시 중구 난계로15길 36-6,37.5691278,127.0215798
서울특별시 구로구 공원로7길 11,37.5018991,126.8885024
서울특별시 강서구 화곡로 342,37.554125,126.851747
서울특별시 영등포구 양산로 43,37.5257922,126.8879668
서울특별시 중랑구 중랑천로14길 58,37.5945296,127.0759159
서울특별시 강서구 강서로 415,37.5626136,126.8390886
서울특별시 서초구 강남대로 305,37.4901973,127.0306346
서울특별시 서초구 강남대로 247,37.485348,127.0328885
서울특별시 강남구 언주로85길 32,37.5009284,127.0407513
서울특별시 강남구 테헤란로20길 19,37.4985788,127.0350527
서울특별시 동작구 노들로2길 7,37.5141943,126.9385861
서울특별시 동대문구 황물로 90,37.5703647,127.0501601
서울특별시 강남구 테헤란로83길 19,37.5086123,127.057211
서울특별시 강남구 헌릉로569길 21-30,37.4663621,127.1007309
서울특별시 영등포구 문래로26길 6,37.5182383,126.8974913
서울특별시 서초구 강남대로 381,37.4966918,127.0277221
서울특별시 금천구 금하로21길 12,37.4519796,126.9082858
서울특별시 강남구 언주로 615,37.510437,127.0360973
서울특별시 중랑구 용마산로 636,37.6078405,127.1016174
서울특별시 마포구 월드컵로34길 7,37.565061,126.9030549
서울특별시 성동구 광나루로 190,37.5506589,127.0508234
서울특별시 마포구 월드컵로34길 13,37.5654248,126.9035485
서울특별시 성동구 뚝섬로3길 16,37.5416109,127.0496872
