apt_name,dong,jibun,area_m2,price_manwon,floor,build_year,deal_year,deal_month,deal_day,deal_date,deal_ym,price_per_pyeong
판교푸르지오그랑블,백현동,542,117.5193,140000,4,2011,2017,4,27,2017-04-27,2017-04,3938.178665121388
한솔마을(5단지)(주공),정자동,112,74.91,49300,11,1994,2017,4,15,2017-04-15,2017-04,2175.6232812708586
한솔마을(6단지)(주공),정자동,117,37.67,29400,4,1995,2017,4,24,2017-04-24,2017-04,2580.050968940802
무지개(1단지)(대림),구미동,211,127.17,52700,26,1995,2017,4,13,2017-04-13,2017-04,1369.9430683337264
백현마을9단지(e편한세상),백현동,525,117.8,112500,9,2009,2017,4,8,2017-04-08,2017-04,3157.0670628183366
탑마을(경향),야탑동,510,131.4,66800,13,1993,2017,4,29,2017-04-29,2017-04,1680.574124809741
매화마을(주공3),야탑동,205,38.34,26500,1,1993,2017,4,11,2017-04-11,2017-04,2284.916536254564
양지마을(2단지)(청구),수내동,36,84.6,62700,3,1992,2017,4,29,2017-04-29,2017-04,2450.043262411348
목련마을(영남),야탑동,156,84.93,43000,13,1995,2017,4,28,2017-04-28,2017-04,1673.7242434946425
까치마을(3단지)(신원),구미동,66,130.83,83500,5,1995,2017,4,29,2017-04-29,2017-04,2109.8700603837037
이매촌(삼환),이매동,99,132.37,75000,6,1994,2017,4,29,2017-04-29,2017-04,1873.045251945305
샛별마을(우방),분당동,38,133.86,68500,1,1994,2017,4,21,2017-04-21,2017-04,1691.6726430599133
까치마을(4단지)(롯데),구미동,63,70.66,54800,10,1995,2017,4,13,2017-04-13,2017-04,2563.7962071893576
정든마을(5단지)(신화),정자동,192,134.31,70000,3,1995,2017,4,26,2017-04-26,2017-04,1722.924577470032
파크타운(대림),수내동,51,101.91,77000,17,1993,2017,4,17,2017-04-17,2017-04,2497.7588067903052
시범우성,서현동,96,64.8,46300,16,1991,2017,4,29,2017-04-29,2017-04,2362.01450617284
무지개(3단지)(건영),구미동,201,53.83,33800,9,1996,2017,4,26,2017-04-26,2017-04,2075.7206018948546
시범현대,서현동,92,84.57,63300,13,1991,2017,4,23,2017-04-23,2017-04,2474.366087264988
봇들마을4단지(주공),삼평동,718,59.84,66000,4,2009,2017,4,5,2017-04-05,2017-04,3646.1029411764703
무지개(1단지)(대림),구미동,211,101.64,50000,9,1995,2017,4,18,2017-04-18,2017-04,1626.229830775285
이매촌(청구),이매동,123,133.15,80500,3,1992,2017,4,25,2017-04-25,2017-04,1998.6248591813744
정든마을(2단지)(동아),정자동,198,69.055,45500,14,1995,2017,4,21,2017-04-21,2017-04,2178.17536746072
무지개(5단지)(청구),구미동,221,58.49,38000,8,1995,2017,4,29,2017-04-29,2017-04,2147.7243973328773
무지개(2단지)(엘지),구미동,202,49.83,32000,4,1995,2017,4,29,2017-04-29,2017-04,2122.9299618703594
양지마을(2단지)(청구),수내동,36,134.8,86700,6,1992,2017,4,21,2017-04-21,2017-04,2126.2081602373887
판교원마을5단지(푸르지오),판교동,634,101.06,85000,8,2009,2017,4,13,2017-04-13,2017-04,2780.457154165842
이매촌(한신),이매동,124,66.27,54000,19,1992,2017,4,17,2017-04-17,2017-04,2693.7256677229516
판교원마을1단지(파라곤),판교동,622,101.2,84500,8,2009,2017,4,24,2017-04-24,2017-04,2760.27766798419
무지개(8단지)(제일),구미동,243,101.91,48000,4,1995,2017,4,26,2017-04-26,2017-04,1557.0444509861643
무지개(2단지)(엘지),구미동,202,84.822,49800,10,1995,2017,4,18,2017-04-18,2017-04,1940.87430147839
효자촌(럭키),서현동,308,70.686,46000,14,1994,2017,4,13,2017-04-13,2017-04,2151.300116005998
판교푸르지오그랑블,백현동,542,98.986,101000,3,2011,2017,4,25,2017-04-25,2017-04,3373.060836886024
봇들마을4단지(주공),삼평동,718,84.98,82000,8,2009,2017,4,25,2017-04-25,2017-04,3189.875264768181
푸른마을(쌍용),수내동,75,84.72,64500,8,1992,2017,4,15,2017-04-15,2017-04,2516.809490084986
봇들마을1단지(판교신미주),삼평동,705,83.698,69000,11,2009,2017,4,26,2017-04-26,2017-04,2725.2765896437195
봇들마을2단지(이지더원),삼평동,717,84.2822,70000,7,2009,2017,4,12,2017-04-12,2017-04,2745.609393205208
정든마을(2단지)(동아),정자동,198,69.055,47000,4,1995,2017,4,15,2017-04-15,2017-04,2249.983346607776
한솔마을(4단지)(주공),정자동,102,42.75,32800,25,1994,2017,4,19,2017-04-19,2017-04,2536.379883040936
백현마을5단지(주공),백현동,554,84.98,96000,6,2009,2017,4,5,2017-04-05,2017-04,3734.488114850553
정든마을(2단지)(동아),정자동,198,48.84,33800,8,1995,2017,4,15,2017-04-15,2017-04,2287.7977067977067
한솔마을(3단지)(한일),정자동,107,84.92,55800,14,1993,2017,4,10,2017-04-10,2017-04,2172.204898728214
효자촌(화성),서현동,308,84.696,51800,20,1994,2017,4,21,2017-04-21,2017-04,2021.824407291962
파크타운(서안),수내동,52,184.78,82000,18,1993,2017,4,6,2017-04-06,2017-04,1467.0180755493018
장미마을(현대),야탑동,334,75.188,45000,1,1993,2017,4,28,2017-04-28,2017-04,1978.520508591797
양지마을(5단지)(한양501-514),수내동,24,42.56,30800,10,1992,2017,4,5,2017-04-05,2017-04,2392.3552631578946
청솔마을(주공9단지),금곡동,133,36.54,31900,14,1995,2017,4,24,2017-04-24,2017-04,2886.0158730158732
매화마을(주공3),야탑동,205,41.85,26000,15,1993,2017,4,5,2017-04-05,2017-04,2053.7825567502987
한솔마을(5단지)(주공),정자동,112,41.85,31000,11,1994,2017,4,28,2017-04-28,2017-04,2448.740740740741
판교원마을11단지(힐스테이트),판교동,513,101.33,80000,6,2009,2017,4,17,2017-04-17,2017-04,2609.9279581565183
푸른마을(쌍용),수내동,75,163.83,79250,12,1992,2017,4,21,2017-04-21,2017-04,1599.1250076298602
한솔마을(5단지)(주공),정자동,112,41.85,32000,10,1994,2017,4,8,2017-04-08,2017-04,2527.732377538829
장미마을(코오롱)1,야탑동,330,59.55,43750,5,1993,2017,4,24,2017-04-24,2017-04,2428.694374475231
판교원마을11단지(힐스테이트),판교동,513,101.76,88500,8,2009,2017,4,7,2017-04-07,2017-04,2875.032429245283
푸른마을(벽산),수내동,71,163.83,72000,1,1992,2017,4,8,2017-04-08,2017-04,1452.832814502838
이매촌(동신3),이매동,117,84.6,63800,7,1992,2017,4,28,2017-04-28,2017-04,2493.026477541371
이매촌(금강),이매동,122,84.42,62700,8,1992,2017,4,28,2017-04-28,2017-04,2455.26723525231
청솔마을(공무원),금곡동,125,58.71,42700,2,1994,2017,4,3,2017-04-03,2017-04,2404.320558678249
무지개(4단지)(주공),구미동,220,59.98,34900,16,1995,2017,4,21,2017-04-21,2017-04,1923.5148382794264
청솔마을(성원),금곡동,143,101.88,67000,4,1994,2017,4,3,2017-04-03,2017-04,2174.0145268943857
양지마을(5단지)(한양501-514),수내동,24,42.56,32000,10,1992,2017,4,15,2017-04-15,2017-04,2485.563909774436
장미마을(코오롱)1,야탑동,330,84.6,56500,7,1993,2017,4,6,2017-04-06,2017-04,2207.774231678487
청솔마을(계룡),금곡동,176,84.97,60000,11,1996,2017,4,25,2017-04-25,2017-04,2334.3297634459223
청솔마을(계룡),금곡동,176,55.44,42000,15,1996,2017,4,22,2017-04-22,2017-04,2504.3939393939395
시범한양,서현동,91,35.1,29500,15,1991,2017,4,5,2017-04-05,2017-04,2778.3789173789173
청솔마을(대원),금곡동,141,129.45,73000,15,1994,2017,4,17,2017-04-17,2017-04,1864.2209347238315
이매촌(진흥),이매동,111,84.63,68000,10,1993,2017,4,21,2017-04-21,2017-04,2656.2022923313248
청솔마을(계룡),금곡동,176,84.97,58300,20,1996,2017,4,9,2017-04-09,2017-04,2268.1904201482876
양지마을(5단지)(한양501-514),수내동,24,35.1,29450,5,1992,2017,4,28,2017-04-28,2017-04,2773.6698005698004
시범한양,서현동,91,28.71,25800,4,1991,2017,4,21,2017-04-21,2017-04,2970.7293625914313
시범한양,서현동,91,59.13,44700,3,1991,2017,4,21,2017-04-21,2017-04,2499.0573313039067
봇들마을9단지(금호어울림),삼평동,744,101.09,107000,16,2009,2017,4,29,2017-04-29,2017-04,3499.0661786526857
탑마을(기산)1,야탑동,511,131.4,72700,12,1993,2017,4,26,2017-04-26,2017-04,1829.0080669710808
청솔마을(성원),금곡동,143,134.67,73000,7,1994,2017,4,11,2017-04-11,2017-04,1791.961090072028
한솔마을(4단지)(주공),정자동,102,41.85,31000,6,1994,2017,4,25,2017-04-25,2017-04,2448.740740740741
시범한양,서현동,91,35.1,30900,2,1991,2017,4,28,2017-04-28,2017-04,2910.234188034188
까치마을(1단지)(대우롯데선경),구미동,77,70.66,54200,4,1995,2017,4,4,2017-04-04,2017-04,2535.7254457967733
매화마을공무원1,야탑동,201,58.92,37000,4,1995,2017,4,21,2017-04-21,2017-04,2075.943652410047
매화마을공무원1,야탑동,201,49.67,33850,10,1995,2017,4,25,2017-04-25,2017-04,2252.8957116972015
시범현대,서현동,92,84.57,61000,19,1991,2017,4,29,2017-04-29,2017-04,2384.4602104765286
효자촌(현대),서현동,299,128.04,70800,8,1992,2017,4,30,2017-04-30,2017-04,1827.9493908153704
무지개(3단지)(신한),구미동,201,69.72,39000,13,1996,2017,4,21,2017-04-21,2017-04,1849.199655765921
효자촌(현대),서현동,299,195.96,85000,8,1992,2017,4,29,2017-04-29,2017-04,1433.9303939579506
무지개(3단지)(신한),구미동,201,69.72,38200,9,1996,2017,4,10,2017-04-10,2017-04,1811.2673551348253
장미마을(현대),야탑동,334,41.76,29400,15,1993,2017,4,6,2017-04-06,2017-04,2327.359195402299
아름마을(풍림),이매동,140,75.15,62000,4,1993,2017,4,26,2017-04-26,2017-04,2727.33998669328
상록마을(우성)1,정자동,121,101.98,73750,9,1994,2017,4,15,2017-04-15,2017-04,2390.6918023141793
무지개(4단지)(주공),구미동,220,58.14,36600,4,1995,2017,4,1,2017-04-01,2017-04,2081.0505675954596
한솔마을(5단지)(주공),정자동,112,51.66,38700,14,1994,2017,4,13,2017-04-13,2017-04,2476.4703832752616
파크타운(삼익),수내동,54,184.78,80500,8,1993,2017,4,29,2017-04-29,2017-04,1440.1823790453514
파크타운(삼익),수내동,54,134.413,76500,2,1993,2017,4,28,2017-04-28,2017-04,1881.467566381228
청솔마을(서광),금곡동,177,84.96,59000,17,1995,2017,4,7,2017-04-07,2017-04,2295.694444444445
시범한양,서현동,91,35.1,31000,11,1991,2017,4,29,2017-04-29,2017-04,2919.6524216524217
매화마을공무원2,야탑동,215,58.71,34800,18,1995,2017,4,10,2017-04-10,2017-04,1959.4931016862545
이매촌(삼성),이매동,100,101.91,64000,17,1994,2017,4,29,2017-04-29,2017-04,2076.059267981552
시범우성,서현동,96,129.21,72000,2,1991,2017,4,12,2017-04-12,2017-04,1842.0989087531923
장미마을(현대),야탑동,334,75.188,51000,6,1993,2017,4,4,2017-04-04,2017-04,2242.323243070703
봇들마을1단지(판교신미주),삼평동,705,82.794,75000,5,2009,2017,4,29,2017-04-29,2017-04,2994.6010580476845
양지마을(3단지)(금호),수내동,27,134.48,78000,20,1992,2017,4,15,2017-04-15,2017-04,1917.403331350387
샛별마을(우방),분당동,38,72.32,49000,2,1994,2017,4,14,2017-04-14,2017-04,2239.8257743362833
양지마을(5단지)(한양515-529),수내동,24,134.55,84000,5,1992,2017,4,21,2017-04-21,2017-04,2063.821627647714
무지개(1단지)(대림),구미동,211,84.97,43000,1,1995,2017,4,28,2017-04-28,2017-04,1672.9363304695776
봇들마을9단지(금호어울림),삼평동,744,101.09,106000,14,2009,2017,4,24,2017-04-24,2017-04,3466.364625581165
판교푸르지오그랑블,백현동,542,139.7268,161500,2,2011,2017,4,29,2017-04-29,2017-04,3820.9327058230774
시범우성,서현동,96,84.6,60000,3,1991,2017,4,26,2017-04-26,2017-04,2344.5390070921985
파크타운(서안),수내동,52,131.49,77300,13,1993,2017,4,5,2017-04-05,2017-04,1943.4051258650843
하얀마을(5단지)(주공),구미동,110,36.0,29500,5,1995,2017,4,14,2017-04-14,2017-04,2708.9194444444443
파크타운(삼익),수내동,54,84.6,63700,6,1993,2017,4,19,2017-04-19,2017-04,2489.118912529551
장미마을(동부),야탑동,330,59.76,43300,14,1993,2017,4,6,2017-04-06,2017-04,2395.266733601071
두산위브트레지움,금곡동,192,147.6,76000,13,2003,2017,4,19,2017-04-19,2017-04,1702.173441734417
봇들마을9단지(금호어울림),삼평동,744,115.01,121900,12,2009,2017,4,22,2017-04-22,2017-04,3503.84331797235
판교원마을9단지(한림풀에버),판교동,585,84.9562,73500,2,2009,2017,4,22,2017-04-22,2017-04,2860.0184565693853
판교푸르지오그랑블,백현동,542,117.5193,143000,11,2011,2017,4,17,2017-04-17,2017-04,4022.568207945418
시범한양,서현동,91,134.87,78000,2,1991,2017,4,29,2017-04-29,2017-04,1911.8588270186103
봇들마을9단지(금호어울림),삼평동,744,115.01,118000,15,2009,2017,4,1,2017-04-01,2017-04,3391.7433266672465
봇들마을9단지(금호어울림),삼평동,744,101.09,101000,5,2009,2017,4,6,2017-04-06,2017-04,3302.856860223563
백현마을7단지(주공),백현동,556,74.76,82500,14,2009,2017,4,20,2017-04-20,2017-04,3648.053772070626
한솔마을(5단지)(주공),정자동,112,41.85,29500,11,1994,2017,4,14,2017-04-14,2017-04,2330.2532855436084
