region,apt_name,dong,jibun,area_m2,price_manwon,floor,build_year,deal_year,deal_month,deal_day,deal_date,deal_ym,price_per_pyeong
수원시 영통구,매탄레이크파크,매탄동,1230,49.95,19900,12,1999,2017,4,26,2017-04-26,2017-04,1317.0254254254255
수원시 영통구,광교e편한세상,이의동,1326,100.1248,70000,8,2012,2017,4,29,2017-04-29,2017-04,2311.175652785324
수원시 영통구,현대힐스테이트,매탄동,176,59.648,31500,14,2006,2017,4,11,2017-04-11,2017-04,1745.7869501072962
수원시 영통구,매탄위브하늘채,매탄동,1352,59.9845,36000,5,2008,2017,4,26,2017-04-26,2017-04,1983.992531403946
수원시 영통구,매탄위브하늘채,매탄동,1352,84.818,43200,24,2008,2017,4,3,2017-04-03,2017-04,1683.7293970619444
수원시 영통구,벽적골우성,영통동,973-3,59.73,29000,8,1998,2017,4,27,2017-04-27,2017-04,1605.0259501088233
수원시 영통구,원천레이크파크,원천동,548,59.8,22870,3,1999,2017,4,15,2017-04-15,2017-04,1264.2750167224083
수원시 영통구,현대힐스테이트,매탄동,176,75.814,35100,14,2006,2017,4,29,2017-04-29,2017-04,1530.5033371145173
수원시 영통구,원천레이크파크,원천동,548,59.99,24000,3,1999,2017,4,10,2017-04-10,2017-04,1322.5404234039006
수원시 영통구,청명마을삼성,영통동,1046-1,134.239,46400,1,2001,2017,4,7,2017-04-07,2017-04,1142.6569029864643
수원시 영통구,광교2차e편한세상,이의동,1200,84.6861,53300,1,2011,2017,4,25,2017-04-25,2017-04,2080.6146463233044
수원시 영통구,삼성1,원천동,333-3,49.14,16200,8,1992,2017,4,15,2017-04-15,2017-04,1089.8241758241759
수원시 영통구,광교호반베르디움,원천동,606,59.9306,41800,15,2014,2017,4,22,2017-04-22,2017-04,2305.70760179274
수원시 영통구,자연앤힐스테이트,이의동,1344,84.63,67800,6,2012,2017,4,21,2017-04-21,2017-04,2648.3899326479973
수원시 영통구,매탄레이크파크,매탄동,1230,59.99,22900,11,1999,2017,4,15,2017-04-15,2017-04,1261.9239873312217
수원시 영통구,광교2차e편한세상,이의동,1200,84.6861,54000,8,2011,2017,4,19,2017-04-19,2017-04,2107.9397917722035
수원시 영통구,마젤란21,망포동,509-2,84.7237,29200,6,2006,2017,4,15,2017-04-15,2017-04,1139.343064573431
수원시 영통구,엘지동수원자이,망포동,698,110.5997,36000,7,2003,2017,4,19,2017-04-19,2017-04,1076.0318518042998
수원시 영통구,망포쌍용에듀파크,망포동,700,59.9067,24000,10,2004,2017,4,12,2017-04-12,2017-04,1324.3794099825227
수원시 영통구,우남퍼스트빌,매탄동,1274,101.945,40800,9,2002,2017,4,3,2017-04-03,2017-04,1323.033400362941
수원시 영통구,자연앤힐스테이트,이의동,1344,84.28,64500,19,2012,2017,4,29,2017-04-29,2017-04,2529.9489795918366
수원시 영통구,망포쌍용에듀파크,망포동,700,59.9067,23800,8,2004,2017,4,11,2017-04-11,2017-04,1313.342914899335
수원시 영통구,삼성1,매탄동,810-3,44.45,17900,13,1988,2017,4,28,2017-04-28,2017-04,1331.244544431946
수원시 영통구,신나무실휴먼시아5단지,영통동,964-5,59.99,24200,13,1997,2017,4,28,2017-04-28,2017-04,1333.561593598933
수원시 영통구,자연앤자이3단지,이의동,1339,125.6,75000,5,2012,2017,4,19,2017-04-19,2017-04,1974.004777070064
수원시 영통구,자연앤힐스테이트,이의동,1344,84.63,70000,10,2012,2017,4,6,2017-04-06,2017-04,2734.325889164599
수원시 영통구,주공그린빌3,매탄동,1277,84.71,31500,20,2002,2017,4,7,2017-04-07,2017-04,1229.284618108842
수원시 영통구,주공그린빌3,매탄동,1277,84.45,32100,2,2002,2017,4,7,2017-04-07,2017-04,1256.5563055062166
수원시 영통구,벽적골롯데,영통동,971-1,49.71,25700,4,2002,2017,4,5,2017-04-05,2017-04,1709.0939448803058
수원시 영통구,청명마을(주공),영통동,1048-2,59.94,24500,8,1997,2017,4,6,2017-04-06,2017-04,1351.2195528862196
수원시 영통구,벽적골두산,영통동,973-3,59.84,27500,16,1997,2017,4,26,2017-04-26,2017-04,1519.2095588235295
수원시 영통구,주공그린빌1,매탄동,1258,84.51,32800,5,2002,2017,4,23,2017-04-23,2017-04,1283.0462667139982
수원시 영통구,삼성1,매탄동,810-3,44.45,18900,8,1988,2017,4,1,2017-04-01,2017-04,1405.615748031496
수원시 영통구,청명마을(주공),영통동,1048-2,59.99,27400,13,1997,2017,4,29,2017-04-29,2017-04,1509.9003167194533
수원시 영통구,원천성일,매탄동,1199,44.2,16800,5,1992,2017,4,16,2017-04-16,2017-04,1256.5031674208144
수원시 영통구,신나무실신안,영통동,963-2,59.965,25500,16,1997,2017,4,17,2017-04-17,2017-04,1405.7850412740765
수원시 영통구,황골마을주공1,영통동,955-1,49.76,23000,17,1997,2017,4,7,2017-04-07,2017-04,1528.0024115755627
수원시 영통구,벽적골9단지주공,영통동,970-3,59.39,28250,9,1999,2017,4,8,2017-04-08,2017-04,1572.4675871358816
수원시 영통구,영통SKVIEW,망포동,725,59.5404,36800,13,2016,2017,4,19,2017-04-19,2017-04,2043.208308980121
수원시 영통구,벽적골한신,영통동,973-3,59.84,29500,11,1997,2017,4,25,2017-04-25,2017-04,1629.697526737968
수원시 영통구,그대가프리미어,망포동,720,59.9513,38000,13,2010,2017,4,12,2017-04-12,2017-04,2095.3740786271524
수원시 영통구,주공그린빌5,매탄동,1282,49.8,24800,14,2002,2017,4,5,2017-04-05,2017-04,1646.2618473895584
수원시 영통구,자연앤힐스테이트,이의동,1344,84.49,63800,2,2012,2017,4,22,2017-04-22,2017-04,2496.2722215646827
수원시 영통구,영통센트럴파크뷰,영통동,948-4,59.99,24000,2,1999,2017,4,29,2017-04-29,2017-04,1322.5404234039006
수원시 영통구,자연앤힐스테이트,이의동,1344,84.46,68300,7,2012,2017,4,14,2017-04-14,2017-04,2673.2907885389536
수원시 영통구,원천성일,매탄동,1199,49.94,19200,6,1992,2017,4,22,2017-04-22,2017-04,1270.9523428113737
수원시 영통구,삼성1,매탄동,810-3,55.16,22300,11,1988,2017,4,27,2017-04-27,2017-04,1336.4637418419145
수원시 영통구,주공,원천동,35,61.52,24000,8,1987,2017,4,15,2017-04-15,2017-04,1289.6488946684005
수원시 영통구,주공,원천동,35,66.56,27500,6,1987,2017,4,2,2017-04-02,2017-04,1365.8278245192307
수원시 영통구,매탄위브하늘채,매탄동,1352,84.818,39500,4,2008,2017,4,1,2017-04-01,2017-04,1539.521092220991
수원시 영통구,광교호수마을호반써밋,하동,994,111.08,64800,3,2011,2017,4,8,2017-04-08,2017-04,1928.4825351098307
수원시 영통구,황골마을주공1,영통동,955-1,59.99,26400,7,1997,2017,4,15,2017-04-15,2017-04,1454.7944657442906
수원시 영통구,황골마을주공1,영통동,955-1,59.99,25850,14,1997,2017,4,15,2017-04-15,2017-04,1424.4862477079512
수원시 영통구,영통센트럴파크뷰,영통동,948-4,59.99,26400,7,1999,2017,4,14,2017-04-14,2017-04,1454.7944657442906
수원시 영통구,삼성1,매탄동,810-3,55.16,22000,14,1988,2017,4,15,2017-04-15,2017-04,1318.4844089920234
